,AverageRating
m318,4.554557700942973
m858,4.524966261808367
m50,4.517106001121705
m527,4.510416666666667
m1198,4.477724741447892
m904,4.476190476190476
m260,4.453694416583082
m750,4.4498902706656915
m912,4.412822049131217
m2762,4.406262708418057
m913,4.395973154362416
m1193,4.390724637681159
m923,4.388888888888889
m908,4.38403041825095
m1221,4.357565011820331
m593,4.3518231186966645
m1252,4.339240506329114
m2028,4.337353938937053
m1136,4.335209505941213
m2324,4.329861111111111
m1234,4.320305052430887
m2858,4.3173862310385065
m2571,4.315830115830116
m1197,4.3037100949094045
m1233,4.302697302697303
m1196,4.292976588628763
m296,4.278212805158913
m1213,4.275196137598069
m541,4.273333333333333
m608,4.254675686430561
m1225,4.251808972503618
m969,4.251655629139073
m1278,4.250628667225482
m919,4.247962747380675
m1247,4.245836637589215
m1208,4.243197278911564
m2804,4.238905325443787
m110,4.234957020057307
m2692,4.224813432835821
m1617,4.219405594405594
m3114,4.218927444794953
m1219,4.218527315914489
m1304,4.215644820295983
m1358,4.208156329651657
m1242,4.193345323741007
m111,4.183870967741935
m1288,4.179785330948121
m1704,4.176356589147287
m1214,4.159584980237154
m3147,4.154664484451718
m1240,4.152049571020019
m1,4.146846413095811
m1230,4.14167916041979
m1089,4.13582208101668
m1291,4.133292383292384
m2396,4.127479949345715
m1200,4.125824175824176
m2997,4.125390450691656
m1294,4.124658780709736
m1036,4.121848739495798
m2918,4.11744738628649
m1222,4.110845295055821
m47,4.106420404573439
m3578,4.106029106029106
m1258,4.104875804967802
m457,4.103258145363409
m1259,4.0969187675070025
m1090,4.090113735783027
m1387,4.089569829110195
m356,4.087967183226983
m1206,4.0781122864117165
m2959,4.077188146106134
m150,4.073541167066347
m1307,4.073341836734694
m924,4.068764568764569
m589,4.058512646281616
m1961,4.053383458646617
m3421,4.053024026512014
m1610,4.052058111380146
m3671,4.047363717605005
m1210,4.022892819979188
m1394,4.02092050209205
m3471,4.0144727773949
m2194,4.007985803016859
m920,3.9974048442906573
m1674,3.9961759082217974
m1270,3.9903213317847466
m1079,3.971342383107089
m2791,3.9711149624494513
m1097,3.9651828999559275
m1265,3.953028972783143
m1784,3.9501404494382024
m223,3.946883852691218
m32,3.945731303772336
m1954,3.9433126660761735
m1220,3.9395973154362416
m2268,3.93119698397738
m2599,3.9303547963206307
m3481,3.928623452294246
m590,3.9152308752584424
m2716,3.9055479138010085
m1923,3.9044493070751276
m1028,3.894164193867458
m3160,3.8939802336028753
m34,3.8914905768132497
m2000,3.8869084204056548
m595,3.8858490566037736
m1374,3.880524861878453
m1968,3.8797920727745288
m3751,3.8796087283671934
m1641,3.872393661384487
m3408,3.863878326996198
m1682,3.861691542288557
m1073,3.8613861386138613
m364,3.8608385370205176
m2797,3.8558014755197854
m2355,3.854374633000587
m2395,3.8409836065573773
m3361,3.837442922374429
m3793,3.8206485771012573
m1500,3.813380281690141
m2890,3.8070519098922624
m11,3.7938044530493706
m588,3.788304959289415
m2302,3.7845303867403315
m3175,3.771412037037037
m1673,3.769503546099291
m1584,3.768451519536903
m480,3.7638473053892216
m2700,3.760441292356186
m1393,3.7590539541759056
m2081,3.756521739130435
m3256,3.75
m3753,3.7451612903225806
m357,3.7437145174371453
m1580,3.739952718676123
m1732,3.7383773928896993
m3448,3.733826247689464
m1094,3.7314890154597236
m1396,3.7277726856095326
m349,3.7261567516525025
m733,3.723134328358209
m2529,3.712564543889845
m1653,3.711234911792015
m1517,3.7103734439834026
m2706,3.7098632109431247
m1356,3.7091603053435116
m2321,3.6968911917098444
m2968,3.6940594059405942
m2406,3.6892193308550185
m1101,3.6861386138613863
m1127,3.6839650145772596
m2916,3.682364729458918
m3418,3.6803105151729003
m2987,3.6798221234018897
m3255,3.6797088262056414
m2115,3.676131322094055
m3703,3.6740812379110253
m3702,3.6641651031894935
m1376,3.6563055062166963
m3527,3.653816499614495
m2763,3.6418732782369148
m597,3.641491395793499
m1527,3.6405228758169934
m380,3.6342857142857143
m21,3.6238938053097347
m39,3.6233480176211454
m592,3.6009783368273935
m3253,3.600892857142857
m2291,3.5926680244399187
m1608,3.5882899628252787
m1721,3.5834411384217333
m2174,3.5678929765886287
m377,3.5654545454545454
m2001,3.5450049455984174
m1370,3.541850220264317
m2407,3.5377733598409544
m2640,3.536824877250409
m3081,3.516885553470919
m780,3.5104046242774567
m3176,3.503380916604057
m587,3.49644128113879
m316,3.490143369175627
m2985,3.451586655817738
m2455,3.4407096171802056
m648,3.432874918140144
m2100,3.4307824591573515
m2628,3.409777777777778
m1372,3.4095904095904097
m1573,3.4011259676284307
m2683,3.388423988842399
m3755,3.351431391905232
m2011,3.3436960276338517
m2617,3.3217477656405165
m2657,3.291159772911598
m367,3.279050042408821
m2012,3.2421602787456445
m3623,3.1957349581111956
m1917,3.191891891891892
m736,3.1738738738738737
m1676,3.1332760103181427
m1544,3.036653386454183
m2710,3.0315278900565885
m2699,3.0029261155815656
m1377,2.9767216294859358
m2054,2.9330143540669855
m1391,2.9003724394785846
